Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,34.46018126055343,2015-03-09,290.19,0.0,2015-03-18,258.5,0.0,-1092.0431441469373,-0.10920431441469372,Long,Closed,0
1,0,35.361664308098376,2015-06-16,251.91000000000003,0.0,2015-08-15,262.46,0.0,373.0655584504366,0.04188003652097957,Long,Closed,1
2,0,37.71700091154346,2015-10-10,246.07000000000002,0.0,2016-01-22,382.9,0.0,5160.81723472649,0.5560612833746493,Long,Closed,2
3,0,35.51941673191665,2016-02-14,406.59,0.0,2016-03-02,420.39,0.0,490.1679509004498,0.033940824909614115,Long,Closed,3
4,0,35.109352456925556,2016-03-27,425.3,0.0,2016-03-29,416.39,0.0,-312.8243303912077,-0.02094991770514937,Long,Closed,4
5,0,34.81172346598222,2016-04-02,419.95,0.0,2016-04-04,419.47,0.0,-16.70962726367179,-0.0011429932134778174,Long,Closed,5
6,0,34.573524108048964,2016-04-05,422.36,0.0,2016-04-08,419.48,0.0,-99.57174943118116,-0.006818827540486798,Long,Closed,6
7,0,34.25342912811616,2016-04-10,423.4,0.0,2016-08-09,586.45,0.0,5585.021619339341,0.38509683514407184,Long,Closed,7
8,0,32.827695633716374,2016-09-04,611.92,0.0,2016-09-20,605.6,0.0,-207.4710364050843,-0.010328147470257391,Long,Closed,8
9,0,32.64495718448355,2016-09-30,608.99,0.0,2017-03-24,934.87,0.0,10638.3386472795,0.5351155191382453,Long,Closed,9
10,0,27.94761091855141,2017-04-01,1092.0,0.0,2018-01-21,11518.17,0.0,291386.54253067315,9.547774725274726,Long,Closed,10
11,0,28.650556549755045,2018-02-20,11235.57,0.0,2018-03-07,9920.0,0.0,-37691.81268016121,-0.11708974266548104,Long,Closed,11
12,0,29.467140928924536,2018-04-24,9645.1,0.0,2018-05-11,8403.33,0.0,-36591.411591310636,-0.1287462027350676,Long,Closed,12
13,0,32.07502883803938,2018-07-23,7720.09,0.0,2018-08-03,7414.08,0.0,-9815.279574728425,-0.03963813893361345,Long,Closed,13
14,0,33.89971358665647,2018-08-31,7015.01,0.0,2018-09-05,6687.96,0.0,-11086.901328516018,-0.04662145884325191,Long,Closed,14
15,0,55.16299962993065,2019-02-23,4110.0,0.0,2019-03-04,3700.72,0.0,-22577.112488538027,-0.09958150851581513,Long,Closed,15
16,0,51.163613030194725,2019-03-16,3990.0,0.0,2019-08-28,9714.31,0.0,292876.381704874,1.4346641604010026,Long,Closed,16
17,0,46.762961184981386,2019-09-03,10628.48,0.0,2019-09-06,10308.92,0.0,-14943.571876272617,-0.03006638766785084,Long,Closed,17
18,0,51.7886437176993,2019-11-02,9308.52,0.0,2019-11-11,8721.54,0.0,-30398.898089415103,-0.06305835943844987,Long,Closed,18
19,0,55.095360959645866,2020-01-10,8198.09,0.0,2020-03-07,8901.37,0.0,38747.46545569977,0.08578583548119141,Long,Closed,19
20,0,64.97741578928469,2020-04-25,7547.61,0.0,2020-09-08,10125.69,0.0,167516.97609803913,0.3415756775986042,Long,Closed,20
21,0,60.033264804441224,2020-09-16,10959.61,0.0,2020-09-21,10416.82,0.0,-32585.455803202698,-0.04952639738092877,Long,Closed,21
22,0,57.19844192997583,2020-10-08,10933.09,0.0,2021-04-29,53580.0,0.0,2439336.8051279057,3.9007188269738933,Long,Closed,22
