iteration,bull_period,window_id,train_start,train_end,test_start,test_end,train_days,test_days,train_buyhold_return,test_buyhold_return,Short Period,Long Period,ALMA Offset,ALMA Sigma,Buy Lookback,Sell Lookback,Baseline Momentum,Macro EMA Period,train_composite,train_sortino,test_composite,test_sortino,test_calmar,test_return,test_sharpe,test_max_dd,num_trades,win_rate,train_vol,test_vol,vol_regime,bootstrap_return_p05,bootstrap_return_p50,bootstrap_return_p95,bootstrap_max_dd_p50,bootstrap_max_dd_p95,asset
1,Bull Period 1,1,2015-10-23,2017-03-04,2017-03-15,2017-08-27,499,166,3.57013201320132,2.436322752788972,28,116,0.9,5.0,4,4,10,150,3.4261169806956335,4.046910013376293,5.468245167169512,6.306232816744359,27.50856920602994,1.723600273315938,3.905850399873291,0.2927440982267279,2,1.0,0.029679966754463626,0.04690037673574786,high,0.23525242805919291,2.1983483813641334,5.75598700930086,-0.22325062547045782,-0.12880711322856173,BTC
2,Bull Period 1,2,2015-10-23,2017-08-27,2017-09-07,2018-02-01,675,148,14.5693428038456,0.9493683204373531,32,106,0.88,7.0,14,5,8,150,4.630632590188264,5.103490413966773,6.491129752199285,7.755587548186882,49.89323666529213,1.4563433246889974,3.3767752879310047,0.16382071512648078,3,1.0,0.034948556276304055,0.059937693618778196,high,0.18804100025388024,2.118951035950073,8.07163429136479,-0.16715355837425677,-0.12623945808317297,BTC
3,Bull Period 2,1,2020-05-06,2021-01-10,2021-01-21,2021-04-20,250,90,3.169118120883069,0.8310662935349584,81,137,0.99,8.0,16,0,20,270,8.70214466587273,10.920365395691201,0.0,0.0,,0.0,inf,,0,,0.0309062826890289,0.04154751323349336,normal,0.0,0.0,0.0,0.0,0.0,BTC
4,Bull Period 2,2,2020-05-06,2021-04-20,2021-05-01,2021-05-18,350,18,5.170880939820594,-0.25928649647904356,76,134,0.99,9.0,17,0,20,170,5.633163833147303,6.519032233294333,0.0,0.0,,0.0,inf,,0,,0.03534098433355151,0.04826692842377008,normal,,,,,,BTC
