iteration,bull_period,window_id,train_start,train_end,test_start,test_end,train_days,test_days,train_buyhold_return,test_buyhold_return,Short Period,Long Period,ALMA Offset,ALMA Sigma,Buy Lookback,Sell Lookback,Baseline Momentum,Macro EMA Period,train_composite,train_sortino,test_composite,test_sortino,test_calmar,test_return,test_sharpe,test_max_dd,num_trades,win_rate,train_vol,test_vol,vol_regime,bootstrap_return_p05,bootstrap_return_p50,bootstrap_return_p95,bootstrap_max_dd_p50,bootstrap_max_dd_p95,asset
1,Bull Period 1,1,2015-10-23,2017-03-04,2017-03-15,2017-08-27,499,166,3.57013201320132,2.436322752788972,34,97,0.99,7.0,12,1,4,210,4.521191211688426,5.0191256809150016,3.9939890672154887,4.293242053019811,8.976219058713665,0.8300877490131319,2.8342190250491623,0.30934879335214155,4,0.5,0.029679966754463626,0.04690037673574786,high,-0.0928200316473881,0.9754507061309556,3.290158131578671,-0.2143387625135144,-0.12443381909786601,BTC
2,Bull Period 1,2,2015-10-23,2017-08-27,2017-09-07,2018-02-01,675,148,14.5693428038456,0.9493683204373531,35,162,0.89,8.0,8,4,4,210,4.690516191757475,5.204357758526425,4.517646189964883,4.91939588699402,12.739367083687302,0.8230008707101255,2.3930265799823016,0.26665403341541716,4,0.75,0.034948556276304055,0.059937693618778196,high,-0.25712900882731404,1.2177600087456997,6.2240445709967345,-0.23162522868609167,-0.12631125774472748,BTC
3,Bull Period 2,1,2020-05-06,2021-01-10,2021-01-21,2021-04-20,250,90,3.169118120883069,0.8310662935349584,66,93,0.98,7.0,9,0,20,170,9.389590013023087,11.890842875747266,0.0,0.0,,0.0,inf,,0,,0.0309062826890289,0.04154751323349336,normal,0.0,0.0,0.0,0.0,0.0,BTC
4,Bull Period 2,2,2020-05-06,2021-04-20,2021-05-01,2021-05-18,350,18,5.170880939820594,-0.25928649647904356,54,80,0.99,8.0,11,3,19,200,6.648615697186677,7.945244646774618,0.0,0.0,,0.0,inf,,0,,0.03534098433355151,0.04826692842377008,normal,,,,,,BTC
