start_date,end_date,days,composite_score,sortino,calmar,sharpe,total_return,max_drawdown,win_rate,num_trades,Short Period,Long Period,ALMA Offset,ALMA Sigma,Trending ALMA Offset,Ranging ALMA Offset,Trending ALMA Sigma,Ranging ALMA Sigma,Trend Analysis Period,Trend Threshold,Weight Efficiency,Weight R-Squared,Fast HMA Period,Slow EMA Period,Momentum Lookback,Slow EMA Rising Lookback,Macro EMA Period,Profit Period Scale,asset
2023-10-22,2025-10-20,730,2.5031986871884104,2.9677224575668126,3.494040780027528,1.678963402203794,1.3606991101670685,0.15353474887003546,0.5714285714285714,7,75,309,0.89,7.0,0.84,0.96,10.0,3.0,55,0.78,0.68,0.2,85,111,1,1,120,0.04,BTC
2023-10-23,2025-10-21,730,1.9960909980924042,2.5314407119062503,1.4769361086914026,1.4566443279306167,1.5591702359845496,0.40607083420930273,0.5714285714285714,7,82,108,0.94,6.0,0.75,0.94,9.0,2.0,42,0.42,0.72,0.46,59,65,2,1,105,0.01,ETH
