,80,90,100,110,120,130
46,0.0,-0.04168082493241061,-0.04168082493241061,-0.04168082493241061,-0.04168082493241061,-0.04168082493241061
51,0.0,-0.017584805111455694,-0.017584805111455694,-0.017584805111455694,-0.017584805111455694,-0.017584805111455694
56,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0
81,,0.0,0.0,0.0,0.0,0.0
