,6.0,6.5,7.0,7.5,8.0,8.5
0.85,1.031411306029657,1.031411306029657,1.031411306029657,1.031411306029657,1.031411306029657,1.031411306029657
0.86,1.031411306029657,1.031411306029657,1.031411306029657,1.3582424111297153,1.3582424111297153,1.3582424111297153
0.87,1.031411306029657,1.3582424111297153,1.3582424111297153,1.3582424111297153,1.3582424111297153,1.3582424111297153
0.88,1.4163942170993626,1.3582424111297153,1.444045322497524,1.444045322497524,1.444045322497524,1.444045322497524
0.89,1.5043129390513355,1.5043129390513355,1.444045322497524,1.1434766584472176,0.8230008707101255,0.6180489302510642
0.90,1.5043129390513355,1.5043129390513355,0.8679541767891434,0.8679541767891434,0.8679541767891434,0.6579483345689953
0.91,1.5043129390513355,0.9607432803770337,0.9607432803770337,0.8679541767891434,0.8679541767891434,0.8679541767891434
0.92,1.1963325642498694,0.9607432803770337,0.9607432803770337,0.9607432803770337,0.8679541767891434,0.8679541767891434
0.93,0.9607432803770337,0.9607432803770337,0.9607432803770337,0.9607432803770337,0.9607432803770337,0.9607432803770337
0.94,0.9607432803770337,0.9607432803770337,0.9607432803770337,0.9607432803770337,0.9607432803770337,0.9607432803770337
