,100,110,120,130,140,150
15,0.5610469607821462,0.5610469607821462,0.5610469607821462,0.7587775113193126,0.9458153277969936,1.1654150424451468
20,0.8202826406229237,0.5772364578879001,0.5723657184269947,0.5723657184269947,0.5723657184269947,1.0122418584586605
25,0.7560639980707162,0.5215923606202633,0.4979559744358707,0.3376491660577598,0.3376491660577598,0.7118623309636339
30,0.6871812516142358,0.30545797086223087,0.30545797086223087,0.30545797086223087,0.30545797086223087,0.6706655090747292
35,0.8033436752913515,0.5625592022334094,0.5227212500722634,0.9405809433109026,0.9405809433109026,1.4834668920179064
